AX:-0.045166015625, AY:0.03564453125, AZ:0.956787109375, WX:5.7373046875, WY:0.19073486328125, WZ:-4.41741943359375, MX:51.123046875, MY:-39.404296875, MZ:-24.169921875
AX:-0.03173828125, AY:0.01220703125, AZ:0.948486328125, WX:26.69525146484375, WY:-1.16729736328125, WZ:118.7591552734375, MX:36.328125, MY:-19.04296875, MZ:-24.31640625
AX:-0.0458984375, AY:0.104736328125, AZ:0.9619140625, WX:5.2947998046875, WY:1.54876708984375, WZ:0.3662109375, MX:28.857421875, MY:-16.259765625, MZ:-26.220703125
AX:-0.043212890625, AY:0.099609375, AZ:0.95703125, WX:4.47845458984375, WY:3.1890869140625, WZ:-0.9918212890625, MX:29.736328125, MY:-16.845703125, MZ:-26.806640625
AX:-0.056640625, AY:0.080322265625, AZ:0.9609375, WX:5.63812255859375, WY:3.01361083984375, WZ:-0.00762939453125, MX:29.443359375, MY:-15.087890625, MZ:-26.220703125
AX:-0.05908203125, AY:0.094482421875, AZ:0.967529296875, WX:5.5694580078125, WY:3.4027099609375, WZ:-0.23651123046875, MX:29.58984375, MY:-16.9921875, MZ:-26.953125
AX:-0.063720703125, AY:0.092529296875, AZ:0.947021484375, WX:6.35528564453125, WY:0.67138671875, WZ:-1.76239013671875, MX:28.41796875, MY:-16.69921875, MZ:-26.953125
AX:-0.02587890625, AY:0.114013671875, AZ:0.96142578125, WX:5.57708740234375, WY:3.0517578125, WZ:1.47247314453125, MX:28.857421875, MY:-17.138671875, MZ:-26.220703125
AX:-0.040771484375, AY:0.108642578125, AZ:0.968017578125, WX:7.1258544921875, WY:-0.51116943359375, WZ:0.58746337890625, MX:29.8828125, MY:-16.40625, MZ:-25.1953125
AX:-0.04443359375, AY:0.114013671875, AZ:0.95703125, WX:10.29205322265625, WY:-3.63922119140625, WZ:0.54931640625, MX:28.564453125, MY:-16.845703125, MZ:-25.634765625
AX:-0.03125, AY:0.152099609375, AZ:0.995849609375, WX:5.4779052734375, WY:2.47955322265625, WZ:2.98309326171875, MX:29.58984375, MY:-16.40625, MZ:-26.66015625
AX:-0.042724609375, AY:0.129638671875, AZ:0.974365234375, WX:1.0833740234375, WY:1.09100341796875, WZ:4.20379638671875, MX:29.736328125, MY:-15.673828125, MZ:-26.806640625
AX:-0.09326171875, AY:-0.0029296875, AZ:0.945556640625, WX:6.8359375, WY:4.1351318359375, WZ:6.27899169921875, MX:52.880859375, MY:-39.990234375, MZ:-25.048828125
AX:-0.129150390625, AY:-0.002685546875, AZ:0.958984375, WX:5.14984130859375, WY:1.97601318359375, WZ:1.28936767578125, MX:52.294921875, MY:-40.576171875, MZ:-25.341796875
AX:-0.141845703125, AY:-0.00439453125, AZ:0.9658203125, WX:4.87518310546875, WY:3.13568115234375, WZ:-1.68609619140625, MX:53.759765625, MY:-41.455078125, MZ:-25.927734375
AX:-0.145751953125, AY:-0.008544921875, AZ:0.9501953125, WX:4.2572021484375, WY:1.5411376953125, WZ:-0.31280517578125, MX:52.44140625, MY:-42.48046875, MZ:-24.0234375
AX:-0.1494140625, AY:-0.010498046875, AZ:0.959228515625, WX:4.69207763671875, WY:-1.312255859375, WZ:0.3814697265625, MX:51.708984375, MY:-41.455078125, MZ:-23.876953125
AX:-0.054443359375, AY:0.132080078125, AZ:0.993896484375, WX:-1.73187255859375, WY:6.90460205078125, WZ:249.99237060546875, MX:46.58203125, MY:-22.265625, MZ:-25.1953125
AX:0.021240234375, AY:0.066650390625, AZ:0.97021484375, WX:3.326416015625, WY:6.16455078125, WZ:3.89862060546875, MX:35.595703125, MY:-20.654296875, MZ:-25.341796875
AX:0.01513671875, AY:0.05322265625, AZ:0.96728515625, WX:4.44793701171875, WY:0.35858154296875, WZ:2.47955322265625, MX:36.03515625, MY:-18.1640625, MZ:-24.31640625
AX:0.002685546875, AY:0.048095703125, AZ:0.969482421875, WX:7.2174072265625, WY:-3.10516357421875, WZ:-4.852294921875, MX:36.181640625, MY:-18.017578125, MZ:-25.048828125
AX:0.012939453125, AY:0.015625, AZ:0.962890625, WX:-4.81414794921875, WY:24.2156982421875, WZ:-143.95904541015625, MX:52.734375, MY:-38.37890625, MZ:-24.90234375
AX:-0.100341796875, AY:0.028076171875, AZ:0.9599609375, WX:5.9967041015625, WY:0.43487548828125, WZ:-1.28173828125, MX:51.85546875, MY:-43.9453125, MZ:-22.8515625
AX:-0.114501953125, AY:0.034912109375, AZ:0.968994140625, WX:5.7525634765625, WY:1.16729736328125, WZ:-2.50244140625, MX:51.5625, MY:-42.48046875, MZ:-24.31640625
AX:-0.052001953125, AY:0.025634765625, AZ:0.948486328125, WX:0.08392333984375, WY:-14.5416259765625, WZ:34.14154052734375, MX:52.880859375, MY:-41.162109375, MZ:-24.462890625
AX:-0.0947265625, AY:0.052978515625, AZ:0.95947265625, WX:5.218505859375, WY:3.5247802734375, WZ:0.51116943359375, MX:41.455078125, MY:-13.623046875, MZ:-24.462890625
AX:-0.1142578125, AY:0.047119140625, AZ:0.948974609375, WX:4.52423095703125, WY:2.15911865234375, WZ:-0.30517578125, MX:42.7734375, MY:-15.234375, MZ:-23.73046875
AX:-0.1162109375, AY:0.039794921875, AZ:0.951904296875, WX:7.74383544921875, WY:0.5645751953125, WZ:-2.8839111328125, MX:42.48046875, MY:-14.0625, MZ:-24.31640625
AX:-0.08837890625, AY:0.034423828125, AZ:0.964111328125, WX:5.42449951171875, WY:1.57928466796875, WZ:-0.1678466796875, MX:41.162109375, MY:-15.380859375, MZ:-24.169921875
AX:-0.108642578125, AY:0.026123046875, AZ:0.963134765625, WX:5.71441650390625, WY:-1.47247314453125, WZ:-1.13677978515625, MX:40.869140625, MY:-15.966796875, MZ:-24.169921875
AX:-0.08203125, AY:0.067138671875, AZ:0.977294921875, WX:2.8076171875, WY:6.44683837890625, WZ:1.18255615234375, MX:41.162109375, MY:-15.087890625, MZ:-24.755859375
AX:-0.006103515625, AY:0.01220703125, AZ:0.916748046875, WX:3.3416748046875, WY:4.60052490234375, WZ:-27.801513671875, MX:55.078125, MY:-48.6328125, MZ:-21.09375
AX:0.0009765625, AY:0.039306640625, AZ:0.9658203125, WX:4.89044189453125, WY:0.31280517578125, WZ:-1.94549560546875, MX:54.345703125, MY:-49.072265625, MZ:-22.705078125
AX:-0.004150390625, AY:0.04638671875, AZ:0.961669921875, WX:2.9296875, WY:3.13568115234375, WZ:-8.1939697265625, MX:54.4921875, MY:-50.09765625, MZ:-21.38671875
